name,location_x,location_y,reviews,rating,staff,facilities,cleanliness,comfort,money_value,location,wifi,night_price
Kasbah Citoyenne,32.01386438,-5.48371196,18,8.8,9.7,8.3,8.6,8.6,8.8,9.6,5,245
Zagora Desert Camp,30.37170078,-5.76788664,7,9.1,9.6,8.6,8.6,8.9,8.6,8.9,9.6,853
Le Vizir Center Parc & Resort,31.70447904,-7.97128379,154,6.4,7.4,6.3,6.8,6.8,6.6,6.5,4.2,836
Sania Hotel,32.650309,-8.423864,72,8.7,9.4,8.5,8.9,8.8,9.1,8.9,8.4,415
Dar Talmoudi,29.90696597,-5.53275931,26,9.4,9.7,9.1,9.6,9.6,9.8,9.4,9.7,417
Riad Fes Bab Rcif Sid Aowad & spa,34.0621337,-4.97271307,839,9,9.5,8.9,9,9.1,9.1,9.4,8.9,632
Complexe Collier D' Ambre,32.157112,-5.63148,13,8.2,9.4,7.9,8.5,7.5,8.8,9.6,9.4,232
Dar Paru,29.82276484,-5.67411661,23,9.6,10,9.1,9.6,8.9,9.1,9.9,8.3,691
Prestige Hotel & Spa,35.56592,-5.38210536,1,8.7,9.5,8.7,9.1,9,8.7,8.8,8,635
Jm Suites Hotel ECO-FRIENDLY,33.59228754,-7.62547731,180,8.4,8.9,8.6,9.1,9.1,8.5,8.9,9.2,802
Sawadi Ecolodge,31.10997875,-6.58057451,137,9.4,9.6,9.3,9.5,9.5,9,8.9,9.6,1020
Hiking Nomads Guesthouse,31.44514516,-5.98473201,71,9.4,9.9,9.3,9.8,9.6,9.7,9.6,10,241
Sahara Luxury Tented Camp,31.1823752,-3.97658168,14,9.9,9.8,10,10,10,9.8,10,9.8,1449
SOUKTANA,30.531266,-7.923879,55,7.1,8.2,6.7,7,7,7.5,7.7,6.3,156
Maison Merzouga Guest House,31.138702,-4.025814,93,9.5,9.8,9.4,9.6,9.4,9.2,9.5,5,758
Hotel Aymen,34.25975032,-5.92101127,52,6.7,8.1,6.7,7.2,7.2,6.3,7.8,8.4,677
Le Palais Paysan,31.41566239,-8.04206461,31,9.4,9.7,9.3,9.7,9.7,9.3,9.4,9.7,2051
Equinox,28.49083881,-11.33789062,41,7.6,8.7,7.4,8.1,7.9,8,8.3,10,281
La Ferme Berbere,31.54380327,-7.96815634,46,8.5,9.1,8.2,8.7,8.5,8.6,8.3,8.8,1326
Atlas Essaouira & Spa,31.5073614,-9.76456046,1,8.2,8.7,8.2,8.7,8.7,8.1,9.1,8.5,1018
Hotel AL BASSATINE,32.33706066,-6.37572992,658,6.2,7.3,6.1,6.8,6.6,6.5,7.6,6.5,415
ODYSSEE Boutique Hotel Casablanca,33.59642,-7.614553,997,8,8.8,8.1,8.7,8.7,8.1,8.5,8.1,1070
La Kasbah du M'goun,31.65459788,-6.43884659,81,8.2,8.3,7.6,8.1,8.2,8.4,9,7.5,557
Zephyr Mazagan,33.25375591,-8.43821428,272,7.3,7.6,7.5,7.4,7.9,7.9,8.5,8.6,858
Relax Airport,33.39283334,-7.56600738,2,8.3,8.8,8.5,8.7,8.8,8.3,8.9,8.2,731
RIAD ANYSSA,31.61273529,-7.98609556,121,9.2,9.6,9.3,9.5,9.5,9.4,9.1,10,1078
Palais Medina & Spa,34.04779767,-4.99391796,1,8.4,8.9,8.2,8.6,8.7,8,9.1,8.1,1264
Riad Fabiola Et Spa,31.62548565,-7.97492623,325,8.1,8.9,8.3,8.5,8.6,8.5,7.6,7.5,837
Riad Damia,34.05768383,-4.97796535,575,9,9.6,8.9,9.1,9.1,9.3,8.9,8.3,794
Sahara Dream Luxury Camp,31.11310674,-4.00771111,141,9.6,9.7,9.6,9.6,9.6,9.5,9.8,10,1069
Kenzi Rose Garden,31.62370406,-8.00778761,2,7.8,8.3,8,8.3,8.4,7.7,8.8,7.1,1435
Dar Yaya,29.82813718,-5.72607867,61,9.8,10,9.7,9.9,9.9,9.9,9.8,10,251
Riad Hiba,30.12602925,-6.87355757,70,7.9,9,7.4,8,7.9,7.7,8.3,9,702
Elegant Luxury Camp,31.10783725,-4.00910008,70,9.4,9.8,9.6,9.8,9.8,9.3,9.4,9.8,1219
Riad Assia,30.0797,-6.874745,70,8.4,9.6,7.9,8.3,8.2,8.8,8.4,5,446
Dar Bouanani,35.46468751,-6.03665203,277,8.3,9.3,8,8.6,8.4,8.6,9,8.3,351
